doc,auteur,mot,lemme
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",pas,pas
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",trop,trop
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",cette,cette
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",passion,passion
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",pour,pour
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",la,la
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",pêche,pêche
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",pêche,pêcher
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",plutôt,plutôt
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",que,que
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",pour,pour
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",des,des
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",choses,chose
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",choses,choses
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",saines,sain
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",comme,comme
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",les,les
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",chats,chat
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",et,et
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",les,les
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",canards,canard
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",par,par
data/blog_de_jean-marc.htm,"Lise, 35 ans, Lyon",exemple,exemple
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",et,et
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",pendant,pendant
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",pendant,pendre
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",ce,ce
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",temps,temps
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",là,là
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",le,le
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",roi,roi
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",des,des
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",thons,thon
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",avec,avec
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",sa,sa
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",régulière,régulier
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",frétillait,frétiller
data/blog_de_jean-marc.htm,"Nadia, 43 ans, Lisieux",gaiement,gaiement
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",a,a
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",a,avoir
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",quel,quel
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",moment,moment
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",faut,falloir
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",il,il
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",claquer,claquer
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",du,du
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",bec,bec
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",si,si
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",l'on,NA
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",est,être
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",est,est
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",un,un
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",canard,canard
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",qui,qui
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",aime,aimer
data/blog_de_norbert.htm,"Jonas, 37 ans, Strasbourg",cancaner,cancaner
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",norbert,NA
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",mon,mon
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",petit,petit
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",chat,chat
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",ça,ça
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",fait,faire
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",fait,fait
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",bien,bien
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",longtemps,longtemps
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",qu'on,NA
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",ne,ne
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",t'a,NA
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",pas,pas
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",vu,voir
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",vu,vu
data/blog_de_norbert.htm,"Julie, 34 ans, Saint-Julien Molin-Molette",danser,danser
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",l'ambiance,NA
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",doit,devoir
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",doit,doit
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",être,être
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",sympa,sympa
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",quand,quand
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",les,les
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",poules,poule
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",dansent,danser
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",la,la
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",danse,danse
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",danse,danser
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",des,des
data/blog_de_norbert.htm,"Mickaël, 23 ans, Glos",canards,canard
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",vous,vous
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",devez,devoir
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",avoir,avoir
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",un,un
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",grain,grain
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",pour,pour
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",écrire,écrire
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",des,des
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",choses,chose
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",choses,choses
data/blog_de_norbert.htm,"Viviane, 58 ans, Serrières",pareilles,pareil
